Original Rank,New Rank,Change,College,Faculty,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS,PR,,Total
80,101,-21,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",70,8.35,14.79,10.03,13.01,14.07,14.12,0,1.42,26.4,15,16.43,3.93,18.84,7.73,7.49,20,6.83,41.178,39.03630769
117,102,15,Maharaja Sayajirao University of Baroda,250,14,23.89,11.67,6.93,4.06,7.49,2,1.23,25.68,14.16,9.48,3.14,0.56,22.93,6.63,20,4.23,37.308,40.23661538
86,103,-17,NIT Jamshedpur,163,11.49,18.67,12.8,13.49,6.06,8.43,0,1.13,35.12,15,14.56,2.97,12.61,9.91,3.21,20,8.07,40.531,40.80330769
106,104,2,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,34,5.75,16.07,11.3,13.79,7.89,7.74,0,1.4,31.53,13.31,19.82,1.81,19.31,11.44,2.83,20,4.9,38.324,38.93046154
70,105,-35,Punjab Engineering College,192,11.56,19.57,11.43,13.42,6.14,7.97,0,1.13,32.21,15,15.68,2.68,13.59,20.14,1.68,20,26.15,42.636,40.919
107,106,1,DAIICT,105,8.16,20.39,11.81,9.76,5.46,5.23,0,0.4,36.24,15,19.16,1.28,4.99,20.35,3.47,20,6.19,38.199,40.87946154
94,107,-13,Jaypee Noida,283,12.64,19.81,11.93,8.69,10.56,11.35,1,0.2,29.11,13.82,11.54,2.32,8.67,20.63,0,20,6.83,39.825,40.19876923
91,108,-17,UPES,484,11.98,21.42,11.59,12.93,7.92,9.12,3,0.25,24.59,14.91,11.35,0.16,19.8,17.24,0.01,20,4.9,39.86,40.00561538
98,109,-11,BMS College of Engineering,343,13.7,23.1,12.48,10.34,4.67,5.02,2,0.64,23.18,14.71,15.22,0.99,6.72,23.57,1.65,20,15.35,39.134,39.77630769
105,110,-5,Karunya Institute of Technology and Sciences,397,11.38,20.75,12.89,7.12,11.84,12.41,2,0.31,18.73,14.52,8.72,1.81,10.19,21.66,0.12,20,8.07,38.37,39.64576923
89,111,-22,Punjab University,199,10.72,14.38,9.01,5.61,17.07,20.86,3,1.68,19.58,11.75,13.49,3.57,13.55,20.97,0.6,8,14.83,40.172,37.71307692
63,112,-49,"Indraprastha Institute of Information Technology, Delhi",106,10.54,13.95,9.71,20.59,15.96,14.02,0,1.81,30.34,14.47,20.73,2.5,9.59,11.48,0.33,18,13.24,44.846,38.55015385
99,113,-14,NIT Hamirpur,196,11.59,17.28,11.44,9.88,9.29,11.97,0,0.66,25.93,15,14.13,3.14,12.82,10.7,3.02,20,11.59,39.086,38.72723077
87,114,-27,IIIT Allahabad,79,9.04,14.39,9.8,13.33,7.69,7.33,0,0.67,31.74,15,22.18,3.36,17.74,10.09,3.91,20,19.73,40.278,37.16430769
113,115,-2,Chitkara University,423,13.82,20.73,10.28,8.75,2.08,2.95,8,0.35,26.09,15,11.15,0.32,14.89,22.16,1.05,20,11.02,37.512,36.38707692
88,116,-28,NSUT,201,13.48,16.44,8.02,9.2,9.98,12.2,0,0.07,28.29,15,19.29,3.25,5.25,18.76,0.22,20,18.32,40.238,37.27807692
116,117,-1,Veer Surendra Sai University of Technology,272,13.72,19.62,10.96,9.16,9.91,12.06,0,0.19,17.23,15,10.87,3.19,0.53,23.4,3.16,20,6.83,37.336,37.33084615
108,118,-10,Guru Gobind Singh Indraprastha University,41,7.56,16.91,10.36,6.47,18.14,14.77,0,0.04,18.82,15,13.47,0.4,5.9,20.44,0.31,18,16.36,37.914,37.12038462
